IP:PORT, LOSS, DELAY
[2606:4700:d1::b58f:9e36:6a46:0026]:968,0.00%,144 ms
[2606:4700:d1::2869:b9d3:f24d:294e]:968,0.00%,145 ms
[2606:4700:d1::2869:b9d3:f24d:294e]:934,0.00%,145 ms
[2606:4700:d0::e86c:ada3:932f:75ad]:934,0.00%,146 ms
[2606:4700:d1::b318:f6cc:4787:633e]:934,0.00%,146 ms
[2606:4700:d1::b58f:9e36:6a46:0026]:934,0.00%,146 ms
[2606:4700:d1::fb41:1fa6:9112:08b0]:934,0.00%,148 ms
[2606:4700:d1::b13c:3c39:9057:2ce8]:968,0.00%,149 ms
[2606:4700:d1::764b:d1be:d815:f27d]:968,0.00%,156 ms
[2606:4700:d0::fa38:995e:881b:6a0d]:968,0.00%,158 ms
[2606:4700:d0::3987:933d:f9f2:484d]:968,0.00%,159 ms
[2606:4700:d1::1ae8:732f:0679:2b01]:968,0.00%,159 ms
[2606:4700:d0::b70b:8770:8645:69e4]:968,0.00%,160 ms
[2606:4700:d1::941e:6321:258b:a518]:968,0.00%,161 ms
[2606:4700:d1::1ae8:732f:0679:2b01]:934,0.00%,161 ms
[2606:4700:d1::0fbc:a27f:0d52:d824]:968,0.00%,161 ms
[2606:4700:d0::2b4f:032c:a89a:bdcc]:934,0.00%,161 ms
[2606:4700:d0::ff7b:aa09:116a:3a31]:934,0.00%,162 ms
[2606:4700:d0::ff7b:aa09:116a:3a31]:968,0.00%,162 ms
[2606:4700:d1::6fb0:3079:436b:5c76]:934,0.00%,162 ms
[2606:4700:d1::b13c:3c39:9057:2ce8]:934,0.00%,162 ms
[2606:4700:d0::9d9d:8509:5eb9:2e4d]:968,0.00%,162 ms
[2606:4700:d1::f315:1258:8a3e:4d23]:934,0.00%,163 ms
[2606:4700:d0::ca61:27e5:91c2:d9fa]:934,0.00%,163 ms
[2606:4700:d1::8de1:7316:eb58:c8c1]:934,0.00%,163 ms
[2606:4700:d1::764b:d1be:d815:f27d]:934,0.00%,163 ms
[2606:4700:d0::3987:933d:f9f2:484d]:934,0.00%,164 ms
